Asset #,Asset Description,Category Description,Sub-Category Description,Status Description,Site,Building,Location,Account Description,Location Description,Manufacturer Name,Model Number,Manufacturer Serial Number,Date Accepted,Cost Basis,Warranty End Date,
1046005,Nebulizers,Nebulizers,Nebulizers,Active,MSH,MSH,18,Respiratory Therapy,ICU,Aerogen Ltd,AG-PX-1050-US,AP-070277,8-26-15 12:00 AM,0.00,1-1-17 12:00 AM,
1046015,Cold Light Fiberoptic Illuminator,Cold Light Fiberoptic Illuminator,Cold Light Fiberoptic Illuminator,Active,MSH,MSH,17U,NICU,NICU,Sylvan Fiberoptics,100,1931740,5-8-14 12:00 AM,,5-8-15 12:00 AM,
1046023,Delivery Module SEVO,Delivery Module,Delivery Module,Active,MSH,MSH,5,Resp Therapy (Anesthesia),Operating Room,Draeger Medical Canada,OPC5344,ASJM-0039,1-31-17 12:00 AM,,1-31-18 12:00 AM,
1046035,Digital Radiography (DR),Radiographic Units,"RADIOGRAPHIC UNITS, DIAGNOSTIC, GEN",Active,MSH,MSH,3,JDMI - Ambulatory Radiology,MSH ER DRX EVO E5-02(ER),Carestream,5.5.410.38 - DRX Evolution,010098,2-24-17 12:00 AM,,4-16-18 12:00 AM,
1046039,"Light Sources, Fiberoptic",Light Sources,"Light Sources, Fiberoptic",Active,MSH,MSH,7,SURGICAL SUITE (COMBINED WITH CYSTO),OR,Integra Canada ULC,00MLX,16E00MLX6845,2-1-17 12:00 AM,,2-1-18 12:00 AM,
1046043,ENDODONTIC INSTRUMENTS,ENDODONTIC INSTRUMENTS,ENDODONTIC INSTRUMENTS,Active,MSH,MSH,4,Dental Clinic,Dentistry,"DENTSPLY INTERNATIONAL, INC. DENTSPLY TULSA DENTAL SPECIALTIES ",PMKEM1,EMT3152016-00-144,1-17-17 12:00 AM,,1-17-18 12:00 AM,
1046045,ENDODONTIC INSTRUMENTS,ENDODONTIC INSTRUMENTS,ENDODONTIC INSTRUMENTS,Active,MSH,MSH,4,Dental Clinic,Dentistry,"DENTSPLY INTERNATIONAL, INC. DENTSPLY TULSA DENTAL SPECIALTIES ",PMKEM1,EMT3152016-00-140,1-17-17 12:00 AM,,1-17-18 12:00 AM,
1046059,"INFUSION PUMPS, GENERAL PURPOSE",INFUSION PUMPS,"INFUSION PUMPS, GENERAL PURPOSE",Active,MSH,MSH,MSH,Central Dispatch,MSH-PC Unit,Alaris Medical Systems,8015 - PCU,1467786,9-28-16 12:00 AM,2100.00,9-28-18 12:00 AM,
1046060,"Light Sources, Fiberoptic",Light Sources,"Light Sources, Fiberoptic",Active,MSH,MSH,7,SURGICAL SUITE (COMBINED WITH CYSTO),7th Floor,Integra Canada ULC,00MLX,16J00MLX7628,2-6-17 12:00 AM,,2-6-18 12:00 AM,
1046061,"Smoke Evacuation Systems, Surgical",Smoke Evacuation Systems,"Smoke Evacuation Systems, Surgical",Active,MSH,MSH,7,SURGICAL SUITE (COMBINED WITH CYSTO),OR 8,KLS Martin,marVAC LAP,MR402L0300160856,2-7-17 12:00 AM,,2-7-18 12:00 AM,
1046062,"Electrosurgical Units, Monopolar/Bipolar",Electrosurgical Units,"Electrosurgical Units, Monopolar/Bipolar",Active,MSH,MSH,7,SURGICAL SUITE (COMBINED WITH CYSTO),OR,CONMED CORP,60-2450-120,14LGU118,2-7-17 12:00 AM,,2-7-18 12:00 AM,
1046066,Workstation,Workstation,"Workstation, NM",Active,MSH,MSH,6,JDMI - Nuclear Medicine,201-2,Thinking Systems Corp,MD Station,7WMFBG1,12-10-08 12:00 AM,0.00,12-10-09 12:00 AM,
1046072,"INFUSION PUMPS, GENERAL PURPOSE",INFUSION PUMPS,"INFUSION PUMPS, GENERAL PURPOSE",Active,MSH,OPG,8th Floor,Women's Unit-OPG,OPG,Alaris Medical Systems,8015 - PCU,14785387,1-22-14 12:00 AM,2200.00,2-10-19 12:00 AM,
1046073,"Infusion Pumps, Syringe",INFUSION PUMPS,"Infusion Pumps, Syringe",Active,MSH,OPG,8th Floor,Women's Unit-OPG,OPG,Alaris Medical Systems,8110 - Syringe Module,14777024,2-10-17 12:00 AM,2926.00,2-10-19 12:00 AM,
1046075,"Infusion Pumps, Syringe",INFUSION PUMPS,"Infusion Pumps, Syringe",Active,MSH,OPG,8th Floor,Women's Unit-OPG,OPG,Alaris Medical Systems,8110 - Syringe Module,14777020,2-10-17 12:00 AM,2926.00,2-10-19 12:00 AM,
1046087,"WARMERS, BLOOD",WARMERS,"WARMERS, BLOOD",Active,MSH,MSH,15U,Obstetrical Suite (L&D),L&D OR,Level 1 Technology,hl-90,S101A02633,12-16-14 12:00 AM,3001.00,12-16-15 12:00 AM,
1046101,"Humidifiers, Heated",Humidifiers,"Humidifiers, Heated",Active,MSH,MSH,17U,Respiratory Therapy,NICU,FISHER & PAYKEL MEDICAL INC,MR850JHU,080702020448,5-26-09 12:00 AM,2001.00,5-26-10 12:00 AM,
1046104,Vacuum Regulator,Vacuum Regulator,Vacuum Regulator,Active,MSH,MSH,12S,Nursing 12S Medicine,,Amvex Corporation,VR-CIID-DHDG,VRA08111HH,1-7-10 12:00 AM,444.16,1-7-11 12:00 AM,
1046118,Tympanic Thermometer,Tympanic Thermometer,Tympanic Thermometer,Active,BH,BH,9S,Bridgepoint,9th Floor - South Side,Cardinal Health Canada Inc,Genius 3,N18762314,12-13-16 12:00 AM,0.00,,
1046120,"Thermometers, Electronic, Infrared",Thermometers,"Thermometers, Electronic, Infrared",Active,BH,BH,9N,Bridgepoint,9th Floor - North Side,Cardinal Health Canada Inc,Genius 2,N16609177,12-13-16 12:00 AM,0.00,,
1046121,"Aspirators, Emergency",Aspirators,"Aspirators, Emergency",Active,BH,BH,CSR,Bridgepoint,Basement (CSR),Mettler Tolido,XLR8,XP03321,3-30-16 12:00 AM,0.00,3-30-17 12:00 AM,
1046122,"Aspirators, Emergency",Aspirators,"Aspirators, Emergency",Active,BH,BH,CSR,Bridgepoint,Basement (CSR),Mettler Tolido,XLR8,XP03320,3-30-16 12:00 AM,0.00,3-30-17 12:00 AM,
