DeviceID,DeviceType,RiskClass,PurchaseDate,Location,UtilizationRate (hours/day)
D001,MRI Scanner,CRITICAL,2010-05-20,Radiology,12
D002,X-Ray Machine,HIGH,2015-08-15,ER,18
D003,Infusion Pump,HIGH,2012-03-10,ICU,24
D004,ECG Machine,REG,2018-11-05,Cardiology,8
D005,Ultrasound,REG,2011-07-22,Maternity,10
D006,CT Scanner,CRITICAL,2013-09-30,Radiology,16
D007,Defibrillator,CRITICAL,2019-01-15,ER,24
D008,Ventilator,CRITICAL,2017-06-22,ICU,24
D009,Patient Monitor,HIGH,2016-04-18,ICU,24
D010,Anesthesia Machine,CRITICAL,2014-11-03,Operating Room,12
D011,Surgical Light,REG,2020-02-28,Operating Room,14
D012,Surgical Table,LOW,2019-07-12,Operating Room,14
D013,Blood Gas Analyzer,HIGH,2018-09-05,Laboratory,16
D014,Centrifuge,LOW,2017-03-25,Laboratory,12
D015,Microscope,LOW,2016-08-14,Laboratory,10
D016,Dialysis Machine,CRITICAL,2015-12-01,Nephrology,18
D017,Mammography Unit,HIGH,2019-04-30,Radiology,8
D018,Portable X-Ray,HIGH,2018-07-19,ER,16
D019,Ultrasound,REG,2020-01-15,Cardiology,12
D020,EEG Machine,REG,2017-11-28,Neurology,6
D021,Infusion Pump,HIGH,2019-05-17,Pediatrics,24
D022,Patient Monitor,HIGH,2018-02-14,Pediatrics,24
D023,Ventilator,CRITICAL,2016-10-09,ER,24
D024,Defibrillator,CRITICAL,2020-03-22,ICU,24
D025,ECG Machine,REG,2019-08-11,ER,16
D026,Ultrasound,REG,2017-04-05,ER,14
D027,Blood Pressure Monitor,LOW,2020-06-30,General Ward,24
D028,Pulse Oximeter,LOW,2020-05-15,General Ward,24
D029,CT Scanner,CRITICAL,2015-03-28,Radiology,14
D030,MRI Scanner,CRITICAL,2012-08-17,Radiology,10
D031,X-Ray Machine,HIGH,2016-11-20,Orthopedics,12
D032,Ultrasound,REG,2018-12-05,Orthopedics,8
D033,Patient Monitor,HIGH,2019-09-14,Operating Room,14
D034,Anesthesia Machine,CRITICAL,2016-07-08,Operating Room,12
D035,Surgical Light,REG,2017-10-23,Operating Room,14
D036,Infusion Pump,HIGH,2020-04-11,Oncology,24
D037,Patient Monitor,HIGH,2019-11-29,Oncology,24
D038,Chemotherapy Pump,HIGH,2018-06-13,Oncology,12
D039,Blood Gas Analyzer,HIGH,2017-09-02,ICU,24
D040,Ventilator,CRITICAL,2019-02-18,Pediatrics,24
D041,Infant Incubator,CRITICAL,2018-10-07,NICU,24
D042,Phototherapy Unit,REG,2020-01-05,NICU,16
D043,Patient Monitor,HIGH,2019-07-24,NICU,24
D044,Infusion Pump,HIGH,2020-03-09,NICU,24
D045,ECG Machine,REG,2017-12-15,General Ward,12
D046,Defibrillator,CRITICAL,2018-08-30,General Ward,24
D047,Ultrasound,REG,2019-05-12,Emergency,14
D048,Patient Monitor,HIGH,2020-02-08,Emergency,24
D049,Ventilator,CRITICAL,2018-11-17,Emergency,24
D050,X-Ray Machine,HIGH,2017-06-25,Emergency,16
D051,CT Scanner,CRITICAL,2014-04-19,Emergency,16
D052,Blood Gas Analyzer,HIGH,2019-01-30,Emergency,24
D053,Defibrillator,CRITICAL,2020-05-28,Cardiology,24
D054,ECG Machine,REG,2019-10-15,Cardiology,12
D055,Patient Monitor,HIGH,2020-04-22,Cardiology,24
D056,Cardiac Catheterization System,CRITICAL,2016-03-11,Cardiology,10
D057,Ultrasound,REG,2018-09-28,Urology,8
D058,Patient Monitor,HIGH,2019-12-07,Urology,12
D059,Surgical Light,REG,2017-08-14,Urology,10
D060,Endoscopy System,HIGH,2018-05-19,Gastroenterology,10
D061,Patient Monitor,HIGH,2020-01-23,Gastroenterology,12
